Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	Allograft Rejection	55/200	1.687057e-24	7.929169e-23	0	0	6.983773e+00	3.822851e+02	CD86;ITK;CD40;SPI1;CSF1;GPR65;NCF4;ITGB2;UBE2D1;CD3E;ITGAL;TNF;CTSS;SIT1;CCR5;B2M;IL10;IFNAR2;SRGN;PRKCB;IFNGR1;IL15;IFNGR2;IL18;MMP9;HLA-E;FGR;HCLS1;IRF8;LCP2;TLR6;LTB;CCL13;IGSF6;WAS;CAPG;CFP;IL2RG;C2;HLA-DMA;HLA-DMB;ST8SIA4;NLRP3;CSK;LYN;CCR1;FYB1;TRAT1;CRTAM;LY86;CD4;CD40LG;PTPRC;CD28;PTPN6
MSigDB_Hallmark_2020	Complement	44/200	7.099006e-16	1.668266e-14	0	0	5.134646e+00	1.791037e+02	C1QA;CPM;ITGAM;SERPINE1;PLEK;WAS;CBLB;PRCP;LIPA;PLA2G7;CTSS;PIK3CG;C2;PIK3R5;GNAI2;LGALS3;GNGT2;CTSL;KYNU;CASP3;SPOCK2;ME1;CTSH;LTA4H;CD36;CTSD;SH2B3;CTSC;CTSB;LYN;FCER1G;ANXA5;RHOG;PLA2G4A;GP1BA;GZMK;CD40LG;FDX1;IRF2;ADAM9;CALM3;LCP2;LGMN;C1QC
MSigDB_Hallmark_2020	Inflammatory Response	37/200	3.490497e-11	5.468445e-10	0	0	4.102947e+00	9.879236e+01	CD40;CSF1;PTGER2;SERPINE1;PTAFR;C5AR1;KCNA3;ICAM4;PIK3R5;CCRL2;C3AR1;NLRP3;CD14;SCN1B;CMKLR1;LYN;IL10;MSR1;IL15;SLC31A1;IFNGR2;IL10RA;IL18;RHOG;CYBB;GP1BA;TNFRSF1B;P2RX7;MARCO;PTPRE;KLF6;P2RX4;MEP1A;GPR183;CD48;LCP2;IL7R
MSigDB_Hallmark_2020	IL-2/STAT5 Signaling	30/199	3.003100e-07	3.528642e-06	0	0	3.186093e+00	4.785018e+01	CD86;CYFIP1;CD83;CSF1;PTGER2;GPR65;CTSZ;CAPG;ITGAE;GLIPR2;CASP3;CAPN3;TNFRSF8;SLC39A8;IL10;PRNP;IFNGR1;GSTO1;IL10RA;TNFRSF1B;DHRS3;MYO1E;KLF6;P2RX4;RRAGD;IRF8;CD48;GALM;LTB;CDC42SE2
MSigDB_Hallmark_2020	KRAS Signaling Up	29/200	1.073457e-06	1.009050e-05	0	0	3.040634e+00	4.179238e+01	ERO1A;GYPC;ITGB2;LY96;GLRX;IKZF1;IL2RG;CSF2RA;CTSS;HSD11B1;GPNMB;EPB41L3;C3AR1;CD37;SCN1B;CMKLR1;FCER1G;FUCA1;IL10RA;LAPTM5;TNFRSF1B;MMP9;CLEC4A;NIN;TLR8;IRF8;LCP1;IL7R;DOCK2
MSigDB_Hallmark_2020	Reactive Oxygen Species Pathway	12/49	7.936501e-06	6.216925e-05	0	0	5.762783e+00	6.767834e+01	PRNP;MSRA;GCLC;GPX3;PRDX1;TXNRD1;GLRX;LSP1;TXN;IPCEF1;SOD2;FTL
MSigDB_Hallmark_2020	IL-6/JAK/STAT3 Signaling	15/87	5.646618e-05	3.791300e-04	0	0	3.705385e+00	3.624559e+01	CCR1;CSF1;IFNGR1;IL10RB;IFNGR2;TNFRSF1B;IL2RG;TNF;CSF2RA;IL17RA;PIK3R5;HMOX1;CD36;LTB;CD14
MSigDB_Hallmark_2020	Interferon Gamma Response	24/200	1.955541e-04	1.021227e-03	0	0	2.432618e+00	2.077377e+01	CD86;IFNAR2;CD40;IL15;IL10RA;PLA2G4A;IFI30;SAMHD1;SOD2;IL18BP;VAMP8;HLA-DMA;BANK1;CASP3;IRF2;ST8SIA4;SLAMF7;ST3GAL5;IRF8;LCP2;IRF5;PTPN6;B2M;CMKLR1
MSigDB_Hallmark_2020	mTORC1 Signaling	24/200	1.955541e-04	1.021227e-03	0	0	2.432618e+00	2.077377e+01	ERO1A;ACTR3;ACTR2;STARD4;TFRC;IDH1;TXNRD1;ITGB2;M6PR;SLA;DAPP1;GLRX;IFI30;CFP;SLC6A6;RIT1;GCLC;PRDX1;ME1;LTA4H;GLA;CTSC;SKAP2;LGMN
MSigDB_Hallmark_2020	TNF-alpha Signaling via NF-kB	23/200	4.864788e-04	2.286451e-03	0	0	2.315761e+00	1.766536e+01	EGR2;TNFAIP8;CD83;CSF1;BCL2A1;CEBPD;IFNGR2;SERPINE1;PLEK;IL18;SOD2;TNF;SAT1;SLC2A6;FUT4;PNRC1;PTPRE;KLF6;GPR183;KYNU;CCRL2;SGK1;IL7R
MSigDB_Hallmark_2020	Fatty Acid Metabolism	19/158	8.480356e-04	3.623425e-03	0	0	2.431696e+00	1.719838e+01	ACAA2;ACSL1;IDH1;ACSL5;HSD17B4;ACSL4;HCCS;SDHD;HSD17B11;VNN1;TDO2;UROD;ALDH1A1;SMS;CYP1A1;ME1;CD36;MGLL;DECR1
MSigDB_Hallmark_2020	Xenobiotic Metabolism	22/200	1.155774e-03	4.178568e-03	0	0	2.200423e+00	1.488142e+01	SLC46A3;ALAS1;GSTO1;IDH1;SERPINE1;AKR1C2;ABHD6;PGD;CYP27A1;HSD11B1;SLC6A6;GCLC;VNN1;TDO2;NPC1;KYNU;CYP1A1;HMOX1;BLVRB;IRF8;CD36;CES1
MSigDB_Hallmark_2020	heme Metabolism	22/200	1.155774e-03	4.178568e-03	0	0	2.200423e+00	1.488142e+01	MPP1;TFRC;GYPC;FECH;NCOA4;NEK7;ICAM4;SLC30A1;KAT2B;SDCBP;MFHAS1;GCLC;KEL;UROD;UCP2;ACP5;BLVRB;CLIC2;ATP6V0A1;CTSB;SIDT2;PICALM
MSigDB_Hallmark_2020	PI3K/AKT/mTOR  Signaling	14/105	1.466696e-03	4.923909e-03	0	0	2.730950e+00	1.781875e+01	ACTR3;ACTR2;DUSP3;CAB39;PRKCB;SLA;DAPP1;IL2RG;PPP1CA;RPS6KA3;RIT1;ARPC3;MKNK1;RPS6KA1
